School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2018-19 Learning Network,2019-20 Learning Network,Notes,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI/Dual Score,AP/IB/NOCTI/Dual Denom,AP/IB/NOCTI/Dual Pts Earn,AP/IB/NOCTI/Dual Pts Poss,AP/IB/NOCTI/Dual Pct Earn,AP/IB/NOCTI/Dual Tier,AP/IB/NOCTI/Dual (Participants) Score,AP/IB/NOCTI/Dual (Participants) Denom,AP/IB/NOCTI/Dual (Non-Participants) Score,AP/IB/NOCTI/Dual (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect MMS Dist Score,Teach Effect MMS Prof Score,Teacher Attendance Score,Student Survey Teaching Score
Thomas A. Edison High School,502,5020,HS,High School,151 W. Luzerne St.,Philadelphia,PA,19140,215-400-3900,215-400-3901,District,Acceleration,1059,philasd.org/edison,'9-12',Neighborhood,HS-1,Acceleration,Network 13,,8,7.80,98.00,INTERVENE,19th out of 19,84th out of 85,0,0.00,30.00,INTERVENE,14th out of 14,72nd out of 72,9,3.37,38.00,INTERVENE,19th out of 19,84th out of 85,18,3.68,20.00,INTERVENE,19th out of 19,83rd out of 85,7,0.74,10.00,INTERVENE,15th out of 19,75th out of 82,1,451,0.00,8.00,0,INTERVENE,0,142,0,451,0.00,1.50,0,INTERVENE,4,227,0.00,8.00,0,INTERVENE,0,227,0.00,1.50,0,INTERVENE,13,223,0.00,8.00,0,INTERVENE,0,223,0.00,1.50,0,INTERVENE,1,278,0.00,1.50,0,INTERVENE,-5.64,0.00,6.50,0,INTERVENE,-3.99,0.00,6.50,0,INTERVENE,-3.34,0.00,6.50,0,INTERVENE,80,562,2.54,8.00,32,WATCH,32,106,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.28,0.36,1.50,24,INTERVENE,-0.06,0.47,1.50,31,WATCH,-1.75,0.00,1.50,0,INTERVENE,17,1259,0.00,8.00,0,INTERVENE,21,1259,13,1259,10,1259,40,1259,76,941,0.78,6.00,13,INTERVENE,100,1259,0.50,0.50,100,MODEL,85,1259,1.28,2.50,51,REINFORCE,38,0.38,1.00,38,WATCH,64,0.64,1.00,64,REINFORCE,14,0.10,1.00,10,INTERVENE,49,229,0.00,4.50,0,INTERVENE,18,122,0.00,1.50,0,INTERVENE,31,137,0.53,1.00,53,REINFORCE,16,137,53,137,1,137,0.00,1.00,0,INTERVENE,63,137,36,137,23,137,0.00,1.00,0,INTERVENE,21,0.21,1.00,21,INTERVENE,6,90,66,39
Philadelphia Military Academy,505,5050,HS,High School,2118 N. 13th St.,Philadelphia,PA,19122,215-400-7420,215-400-7421,District,N/A,286,philasd.org/pma,'9-12',Citywide,HS-1,Network 5,Innovation,,28,25.87,92.00,WATCH,7th out of 19,56th out of 85,0,0.00,30.00,INTERVENE,14th out of 14,72nd out of 72,26,8.25,32.00,WATCH,10th out of 19,65th out of 85,73,14.60,20.00,REINFORCE,2nd out of 19,20th out of 85,30,3.02,10.00,WATCH,9th out of 19,47th out of 82,7,208,0.00,8.00,0,INTERVENE,2,83,0,208,0.00,1.50,0,INTERVENE,7,122,0.00,8.00,0,INTERVENE,0,122,0.00,1.50,0,INTERVENE,18,120,0.00,8.00,0,INTERVENE,0,120,0.00,1.50,0,INTERVENE,4,25,0.00,1.50,0,INTERVENE,-4.18,0.00,6.50,0,INTERVENE,-3.10,0.00,6.50,0,INTERVENE,-6.51,0.00,6.50,0,INTERVENE,94,222,6.44,8.00,80,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.34,0.67,1.50,45,WATCH,1.29,1.15,1.50,76,MODEL,-4.32,0.00,1.50,0,INTERVENE,50,292,4.80,8.00,60,REINFORCE,24,292,11,292,7,292,8,292,91,267,6.00,6.00,100,MODEL,100,292,0.50,0.50,100,MODEL,95,292,2.10,2.50,84,MODEL,44,0.44,1.00,44,WATCH,63,0.63,1.00,63,REINFORCE,15,0.13,1.00,13,INTERVENE,85,52,1.73,4.50,38,WATCH,32,44,0.19,1.50,12,INTERVENE,6,47,0.00,1.00,0,INTERVENE,32,47,62,47,4,47,0.00,1.00,0,INTERVENE,96,47,0,47,68,47,0.86,1.00,86,MODEL,24,0.24,1.00,24,INTERVENE,0,100,55,33
Jules E. Mastbaum Area Vocational Technical High School,506,5060,HS,High School,3116 Frankford Ave.,Philadelphia,PA,19134,215-400-7220,215-400-7221,District,N/A,765,philasd.org/mastbaum,'9-12',Citywide,HS-1,Network 4,Network 4,,21,20.27,98.00,INTERVENE,11th out of 19,68th out of 85,0,0.04,30.00,INTERVENE,11th out of 14,68th out of 72,29,11.18,38.00,WATCH,8th out of 19,53rd out of 85,28,5.51,20.00,WATCH,15th out of 19,77th out of 85,35,3.54,10.00,WATCH,7th out of 19,43rd out of 82,3,246,0.00,8.00,0,INTERVENE,1,140,0,246,0.00,1.50,0,INTERVENE,6,143,0.00,8.00,0,INTERVENE,0,143,0.00,1.50,0,INTERVENE,17,149,0.00,8.00,0,INTERVENE,1,149,0.04,1.50,3,INTERVENE,1,68,0.00,1.50,0,INTERVENE,-7.69,0.00,6.50,0,INTERVENE,-5.18,0.00,6.50,0,INTERVENE,-4.35,0.00,6.50,0,INTERVENE,89,450,5.15,8.00,64,REINFORCE,83,40,5.10,6.00,85,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.89,0.06,1.50,4,INTERVENE,0.74,0.87,1.50,58,REINFORCE,-3.37,0.00,1.50,0,INTERVENE,21,773,0.24,8.00,3,INTERVENE,29,773,20,773,10,773,19,773,81,688,3.84,6.00,64,REINFORCE,99,773,0.47,0.50,95,MODEL,77,773,0.59,2.50,24,INTERVENE,36,0.36,1.00,36,WATCH,0,0.00,1.00,0,INTERVENE,1,0.00,1.00,0,INTERVENE,86,160,1.91,4.50,43,WATCH,26,137,0.03,1.50,2,INTERVENE,63,127,1.00,1.00,100,MODEL,35,127,2,127,0,142,0.00,1.00,0,INTERVENE,80,142,20,142,44,142,0.37,1.00,37,WATCH,22,0.22,1.00,22,INTERVENE,2,96,69,31
Parkway Northwest High School,507,5070,HS,High School,6200 Crittenden St.,Philadelphia,PA,19138,215-400-3390,215-400-3391,District,N/A,272,philasd.org/parkwaynw,'9-12',Special Admit,HS-3,Network 1,Network 4,,33,29.76,90.50,WATCH,17th out of 24,50th out of 85,1,0.25,28.50,INTERVENE,16th out of 21,56th out of 72,22,7.16,32.00,INTERVENE,21st out of 24,68th out of 85,82,16.48,20.00,MODEL,3rd out of 24,15th out of 85,59,5.88,10.00,REINFORCE,4th out of 23,22nd out of 82,8,107,0.00,8.00,0,INTERVENE,7,67,0,107,0.00,1.50,0,INTERVENE,4,75,0.00,8.00,0,INTERVENE,0,75,0.00,1.50,0,INTERVENE,22,98,0.25,8.00,3,INTERVENE,0,98,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.86,0.00,6.50,0,INTERVENE,-3.81,0.00,6.50,0,INTERVENE,-2.44,0.00,6.50,0,INTERVENE,94,194,6.49,8.00,81,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.50,0.25,1.50,17,INTERVENE,-0.16,0.42,1.50,28,WATCH,-1.81,0.00,1.50,0,INTERVENE,64,277,7.08,8.00,89,MODEL,23,277,7,277,2,277,3,277,91,256,6.00,6.00,100,MODEL,100,277,0.50,0.50,100,MODEL,87,277,1.42,2.50,57,REINFORCE,48,0.48,1.00,48,WATCH,81,0.81,1.00,81,MODEL,18,0.20,1.00,20,INTERVENE,95,55,3.52,4.50,78,MODEL,67,52,1.15,1.50,77,MODEL,0,54,0.00,1.00,0,INTERVENE,52,54,48,54,6,54,0.00,1.00,0,INTERVENE,91,54,4,54,74,54,0.98,1.00,98,MODEL,23,0.23,1.00,23,INTERVENE,8,92,50,43
Parkway Center City Middle College High School,508,5080,HS,High School,540 N. 13th St.,Philadelphia,PA,19123,215-400-7620,215-400-7621,District,School Redesign Initiative,498,philasd.org/parkwaycc,'9-12',Special Admit,HS-5,Network 1,Network 1,,61,54.80,90.50,REINFORCE,4th out of 14,11th out of 85,50,14.17,28.50,REINFORCE,3rd out of 14,9th out of 72,58,18.72,32.00,REINFORCE,6th out of 14,28th out of 85,72,14.34,20.00,REINFORCE,7th out of 14,26th out of 85,76,7.57,10.00,MODEL,3rd out of 14,8th out of 82,63,155,4.26,8.00,53,REINFORCE,68,139,22,155,1.32,1.50,88,MODEL,48,120,2.83,8.00,35,WATCH,8,120,0.45,1.50,30,WATCH,72,116,5.16,8.00,64,REINFORCE,3,116,0.16,1.50,10,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,8.76,6.50,6.50,100,MODEL,-1.64,0.00,6.50,0,INTERVENE,0.09,2.36,6.50,36,WATCH,99,379,7.79,8.00,97,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.17,1.50,1.50,100,MODEL,-0.22,0.39,1.50,26,WATCH,-0.65,0.18,1.50,12,INTERVENE,51,499,4.91,8.00,61,REINFORCE,31,499,10,499,4,499,5,499,96,487,6.00,6.00,100,MODEL,100,499,0.50,0.50,100,MODEL,99,499,2.43,2.50,97,MODEL,50,0.50,1.00,50,REINFORCE,0,0.00,1.00,0,INTERVENE,4,0.00,1.00,0,INTERVENE,97,111,4.01,4.50,89,MODEL,62,108,1.01,1.50,67,REINFORCE,56,108,1.00,1.00,100,MODEL,21,108,23,108,20,108,0.26,1.00,26,WATCH,80,108,0,108,78,108,1.00,1.00,100,MODEL,29,0.29,1.00,29,WATCH,17,83,65,48
Parkway West High School,509,5090,HS,High School,4725 Fairmount Ave.,Philadelphia,PA,19139,215-400-7710,215-400-7711,District,N/A,319,philasd.org/parkwaywest,'9-12',Special Admit,HS-3,Network 13,Network 13,,40,38.60,96.50,WATCH,9th out of 24,36th out of 85,8,2.30,28.50,INTERVENE,7th out of 21,34th out of 72,52,19.91,38.00,REINFORCE,12th out of 24,33rd out of 85,72,14.36,20.00,REINFORCE,7th out of 24,25th out of 85,20,2.03,10.00,INTERVENE,20th out of 23,57th out of 82,9,91,0.00,8.00,0,INTERVENE,7,75,1,91,0.07,1.50,4,INTERVENE,30,83,1.01,8.00,13,INTERVENE,5,83,0.29,1.50,19,INTERVENE,29,84,0.86,8.00,11,INTERVENE,1,84,0.07,1.50,5,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.38,0.00,6.50,0,INTERVENE,6.07,6.50,6.50,100,MODEL,2.56,6.50,6.50,100,MODEL,87,187,4.43,8.00,55,REINFORCE,37,43,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.49,0.26,1.50,17,INTERVENE,2.94,1.50,1.50,100,MODEL,0.45,0.73,1.50,48,WATCH,51,335,4.92,8.00,62,REINFORCE,21,335,10,335,8,335,10,335,87,300,6.00,6.00,100,MODEL,100,335,0.50,0.50,100,MODEL,100,335,2.48,2.50,99,MODEL,47,0.47,1.00,47,WATCH,0,0.00,1.00,0,INTERVENE,4,0.00,1.00,0,INTERVENE,79,67,0.74,4.50,16,INTERVENE,45,53,0.55,1.50,37,WATCH,2,66,0.00,1.00,0,INTERVENE,59,66,39,66,0,66,0.00,1.00,0,INTERVENE,82,66,18,66,48,66,0.47,1.00,47,WATCH,27,0.27,1.00,27,WATCH,5,95,57,43
William W. Bodine High School,515,5150,HS,High School,1101 N. 4th St.,Philadelphia,PA,19123,215-400-7630,215-400-7631,District,N/A,535,philasd.org/bodine,'9-12',Special Admit,HS-5,Network 1,Network 1,,55,49.93,90.50,REINFORCE,5th out of 14,20th out of 85,37,10.59,28.50,WATCH,5th out of 14,14th out of 72,48,15.25,32.00,WATCH,9th out of 14,38th out of 85,83,16.64,20.00,MODEL,5th out of 14,13th out of 85,75,7.45,10.00,MODEL,4th out of 14,9th out of 82,39,161,1.85,8.00,23,INTERVENE,42,125,11,161,0.67,1.50,45,WATCH,43,205,2.34,8.00,29,WATCH,10,205,0.59,1.50,39,WATCH,69,154,4.95,8.00,62,REINFORCE,3,154,0.20,1.50,13,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.54,0.00,6.50,0,INTERVENE,-4.18,0.00,6.50,0,INTERVENE,4.23,6.50,6.50,100,MODEL,97,424,7.25,8.00,91,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.70,0.00,1.50,0,INTERVENE,-1.94,0.00,1.50,0,INTERVENE,2.48,1.50,1.50,100,MODEL,60,541,6.41,8.00,80,MODEL,26,541,7,541,3,541,4,541,96,519,6.00,6.00,100,MODEL,100,541,0.48,0.50,96,MODEL,98,541,2.32,2.50,93,MODEL,54,0.54,1.00,54,REINFORCE,80,0.80,1.00,80,MODEL,14,0.09,1.00,9,INTERVENE,97,102,3.97,4.50,88,MODEL,74,100,1.34,1.50,89,MODEL,29,100,0.48,1.00,48,WATCH,52,100,19,100,26,100,0.40,1.00,40,WATCH,70,100,4,100,88,100,1.00,1.00,100,MODEL,27,0.27,1.00,27,WATCH,42,58,70,48
Penn Treaty High School,516,5160,HS,High School,600 E. Thompson St.,Philadelphia,PA,19125,215-400-3800,215-400-3801,District,N/A,348,philasd.org/penntreaty,'9-12',Neighborhood,HS-4,Network 3,Innovation,,26,24.73,96.50,WATCH,5th out of 8,59th out of 85,2,0.58,28.50,INTERVENE,6th out of 8,52nd out of 72,29,10.96,38.00,WATCH,5th out of 8,56th out of 85,60,11.92,20.00,REINFORCE,1st out of 8,41st out of 85,13,1.26,10.00,INTERVENE,4th out of 8,65th out of 82,11,109,0.00,8.00,0,INTERVENE,7,61,1,109,0.06,1.50,4,INTERVENE,9,134,0.00,8.00,0,INTERVENE,0,134,0.00,1.50,0,INTERVENE,25,87,0.53,8.00,7,INTERVENE,0,87,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-0.20,1.73,6.50,27,WATCH,1.29,4.96,6.50,76,MODEL,-1.12,0.00,6.50,0,INTERVENE,75,198,1.27,8.00,16,INTERVENE,31,36,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.07,1.50,1.50,100,MODEL,2.18,1.50,1.50,100,MODEL,-1.72,0.00,1.50,0,INTERVENE,37,394,2.77,8.00,35,WATCH,24,394,12,394,9,394,17,394,86,322,6.00,6.00,100,MODEL,100,394,0.50,0.50,100,MODEL,86,394,1.36,2.50,54,REINFORCE,49,0.49,1.00,49,WATCH,61,0.61,1.00,61,REINFORCE,18,0.20,1.00,20,INTERVENE,69,90,0.00,4.50,0,INTERVENE,31,62,0.15,1.50,10,INTERVENE,0,67,0.00,1.00,0,INTERVENE,22,67,78,67,3,67,0.00,1.00,0,INTERVENE,72,67,25,67,69,67,0.87,1.00,87,MODEL,23,0.23,1.00,23,INTERVENE,0,97,46,45
Vaux High School: A Big Picture,518,5180,HS,High School,2300 W. Master St.,Philadelphia,PA,19121,267-507-9690,N/A,District,N/A,211,philasd.org/vaux,'9-10',Neighborhood,HS-2,Innovation,Innovation,,19,15.68,81.50,INTERVENE,6th out of 10,70th out of 85,0,0.00,28.50,INTERVENE,7th out of 7,72nd out of 72,23,7.34,32.00,INTERVENE,7th out of 10,67th out of 85,40,8.03,20.00,WATCH,5th out of 10,70th out of 85,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Not Applicable,Not Applicable,0,84,0.00,8.00,0,INTERVENE,Insufficient Sample,Insufficient Sample,0,84,0.00,1.50,0,INTERVENE,0,84,0.00,8.00,0,INTERVENE,0,84,0.00,1.50,0,INTERVENE,2,90,0.00,8.00,0,INTERVENE,0,90,0.00,1.50,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.43,0.00,6.50,0,INTERVENE,-6.50,0.00,6.50,0,INTERVENE,-9.46,0.00,6.50,0,INTERVENE,96,161,6.84,8.00,86,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.37,0.32,1.50,21,INTERVENE,-0.64,0.18,1.50,12,INTERVENE,-2.42,0.00,1.50,0,INTERVENE,21,258,0.09,8.00,1,INTERVENE,29,258,16,258,9,258,25,258,86,183,6.00,6.00,100,MODEL,100,258,0.50,0.50,100,MODEL,61,258,0.00,2.50,0,INTERVENE,50,0.50,1.00,50,REINFORCE,83,0.83,1.00,83,MODEL,15,0.12,1.00,12,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,32,0.32,1.00,32,WATCH,Insufficient Sample,Insufficient Sample,80,51
Kensington High School for Creative and Performing Arts,552,5520,HS,High School,1901 N. Front St.,Philadelphia,PA,19122,215-400-7400,215-400-7401,District,N/A,515,philasd.org/kcapa,'9-12',Neighborhood,HS-1,Network 5,Network 4,,18,18.07,98.00,INTERVENE,13th out of 19,71st out of 85,0,0.00,30.00,INTERVENE,14th out of 14,72nd out of 72,21,8.07,38.00,INTERVENE,12th out of 19,70th out of 85,46,9.12,20.00,WATCH,10th out of 19,65th out of 85,9,0.88,10.00,INTERVENE,14th out of 19,73rd out of 82,2,199,0.00,8.00,0,INTERVENE,2,98,0,199,0.00,1.50,0,INTERVENE,3,90,0.00,8.00,0,INTERVENE,0,90,0.00,1.50,0,INTERVENE,5,98,0.00,8.00,0,INTERVENE,0,98,0.00,1.50,0,INTERVENE,1,75,0.00,1.50,0,INTERVENE,-3.96,0.00,6.50,0,INTERVENE,-3.08,0.00,6.50,0,INTERVENE,-6.08,0.00,6.50,0,INTERVENE,96,277,6.85,8.00,86,MODEL,25,28,0.00,6.00,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,0.32,0.66,1.50,44,WATCH,0.13,0.57,1.50,38,WATCH,-2.84,0.00,1.50,0,INTERVENE,24,585,0.63,8.00,8,INTERVENE,21,585,16,585,9,585,30,585,87,450,6.00,6.00,100,MODEL,100,585,0.49,0.50,98,MODEL,88,585,1.53,2.50,61,REINFORCE,47,0.47,1.00,47,WATCH,0,0.00,1.00,0,INTERVENE,7,0.00,1.00,0,INTERVENE,73,128,0.00,4.50,0,INTERVENE,29,97,0.11,1.50,7,INTERVENE,16,98,0.16,1.00,16,INTERVENE,3,98,81,98,2,98,0.00,1.00,0,INTERVENE,88,98,10,98,46,98,0.42,1.00,42,WATCH,19,0.19,1.00,19,INTERVENE,3,94,54,44
Kensington Health Sciences Academy,555,5550,HS,High School,2463 Emerald St.,Philadelphia,PA,19125,215-400-3600,215-400-3601,District,N/A,458,philasd.org/khsa,'9-12',Neighborhood,HS-1,Network 5,Network 4,,21,19.62,92.00,INTERVENE,10th out of 19,67th out of 85,1,0.16,30.00,INTERVENE,7th out of 14,58th out of 72,19,5.99,32.00,INTERVENE,13th out of 19,72nd out of 85,62,12.34,20.00,REINFORCE,6th out of 19,39th out of 85,11,1.13,10.00,INTERVENE,12th out of 19,68th out of 82,3,150,0.00,8.00,0,INTERVENE,3,115,1,150,0.08,1.50,5,INTERVENE,10,142,0.00,8.00,0,INTERVENE,1,142,0.08,1.50,6,INTERVENE,15,121,0.00,8.00,0,INTERVENE,0,121,0.00,1.50,0,INTERVENE,5,86,0.00,1.50,0,INTERVENE,-5.72,0.00,6.50,0,INTERVENE,-2.81,0.00,6.50,0,INTERVENE,-5.56,0.00,6.50,0,INTERVENE,92,282,5.92,8.00,74,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.93,0.00,1.50,0,INTERVENE,-0.87,0.07,1.50,4,INTERVENE,-5.01,0.00,1.50,0,INTERVENE,38,512,2.86,8.00,36,WATCH,26,512,14,512,6,512,16,512,90,436,6.00,6.00,100,MODEL,100,512,0.50,0.50,100,MODEL,88,512,1.48,2.50,59,REINFORCE,52,0.52,1.00,52,REINFORCE,78,0.78,1.00,78,MODEL,18,0.21,1.00,21,INTERVENE,75,108,0.00,4.50,0,INTERVENE,33,87,0.23,1.50,15,INTERVENE,10,105,0.00,1.00,0,INTERVENE,32,105,58,105,0,105,0.00,1.00,0,INTERVENE,58,105,42,105,56,105,0.62,1.00,62,REINFORCE,28,0.28,1.00,28,WATCH,0,96,64,50
