School,SRC School ID,ULCS Code,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2017-18 Learning Network,2018-19 Learning Network,Overall Score,Overall Pts Earn,Overall Pts Poss,Overall Tier,Overall Peer Rank,Overall City Rank,Ach Score,Ach Pts Earn,Ach Pts Poss,Ach Tier,Ach Peer Rank,Ach City Rank,Prog Score,Prog Pts Earn,Prog Pts Poss,Prog Tier,Prog Peer Rank,Prog City Rank,Clim Score,Clim Pts Earn,Clim Pts Poss,Clim Tier,Clim Peer Rank,Clim City Rank,CC Score,CC Pts Earn,CC Pts Poss,CC Tier,CC Peer Rank,CC City Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone GR9 Alg1 Prof/Adv Score,Keystone GR9 Alg1 Prof/Adv Denom,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L33P) Score,Keystone Alg1 AGI (L33P) Pts Earn,Keystone Alg1 AGI (L33P) Pts Poss,Keystone Alg1 AGI (L33P) Pct Earn,Keystone Alg1 AGI (L33P) Tier,Keystone Bio AGI (L33P) Score,Keystone Bio AGI (L33P) Pts Earn,Keystone Bio AGI (L33P) Pts Poss,Keystone Bio AGI (L33P) Pct Earn,Keystone Bio AGI (L33P) Tier,Keystone Lit AGI (L33P) Score,Keystone Lit AGI (L33P) Pts Earn,Keystone Lit AGI (L33P) Pts Poss,Keystone Lit AGI (L33P) Pct Earn,Keystone Lit AGI (L33P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Philadelphia Military Academy,505,5050,HS,High School,2118 N. 13th St.,Philadelphia,PA,19122,215-400-7420,215-400-7421,District,N/A,311,philasd.org/pma,'9-12',Citywide,HS-2,Autonomy,Network 5,48,41.66,87.5,WATCH,3rd out of 17,24th out of 83,7,2.07,28.5,INTERVENE,3rd out of 17,40th out of 77,77,22.47,29,MODEL,4th out of 17,14th out of 83,63,12.53,20,REINFORCE,5th out of 17,39th out of 83,46,4.59,10,WATCH,5th out of 16,32nd out of 81,6,70,0,8,0,INTERVENE,Insufficient Sample,Insufficient Sample,0,70,0,1.5,0,INTERVENE,15,34,0,8,0,INTERVENE,0,34,0,1.5,0,INTERVENE,41,27,2.07,8,26,WATCH,0,27,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,1.82,6.11,6.5,94,MODEL,0.59,3.45,6.5,53,REINFORCE,1.01,4.36,6.5,67,REINFORCE,98,214,7.38,8,92,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.36,1.18,1.5,79,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,40,311,3.18,8,40,WATCH,32,311,13,311,7,311,9,311,89,291,6,6,100,MODEL,100,311,0.5,0.5,100,MODEL,89,311,1.56,2.5,63,REINFORCE,52,0.52,1,52,REINFORCE,76,0.76,1,76,MODEL,10,0.01,1,1,INTERVENE,91,66,2.86,4.5,64,REINFORCE,45,60,0.55,1.5,36,WATCH,2,65,0,1,0,INTERVENE,31,65,68,65,6,65,0,1,0,INTERVENE,91,65,3,65,69,65,0.88,1,88,MODEL,30,0.3,1,30,WATCH,Data Not Available,Data Not Available,61,43
Jules E. Mastbaum Area Vocational Technical High School,506,5060,HS,High School,3116 Frankford Ave.,Philadelphia,PA,19134,215-400-7220,215-400-7221,District,N/A,792,philasd.org/mastbaum,'9-12',Citywide,HS-2,Network 4,Network 4,25,24.59,98,WATCH,11th out of 17,55th out of 83,4,1.19,30,INTERVENE,9th out of 17,50th out of 77,29,11.02,38,WATCH,9th out of 17,46th out of 83,38,7.58,20,WATCH,14th out of 17,64th out of 83,48,4.81,10,WATCH,4th out of 16,28th out of 81,3,376,0,8,0,INTERVENE,2,230,0,376,0,1.5,0,INTERVENE,1,171,0,8,0,INTERVENE,0,171,0,1.5,0,INTERVENE,12,178,0,8,0,INTERVENE,1,178,0.03,1.5,2,INTERVENE,13,71,1.15,1.5,77,MODEL,-10.31,0,6.5,0,INTERVENE,-11.51,0,6.5,0,INTERVENE,-8.24,0,6.5,0,INTERVENE,89,554,5.02,8,63,REINFORCE,93,46,6,6,100,MODEL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-4.62,0,1.5,0,INTERVENE,-2.78,0,1.5,0,INTERVENE,-4.36,0,1.5,0,INTERVENE,24,801,0.65,8,8,INTERVENE,33,801,19,801,9,801,15,801,84,753,5.44,6,91,MODEL,100,801,0.5,0.5,100,MODEL,77,801,0.57,2.5,23,INTERVENE,42,0.42,1,42,WATCH,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,91,99,2.86,4.5,64,REINFORCE,24,90,0,1.5,0,INTERVENE,78,82,1,1,100,MODEL,15,82,7,82,2,90,0,1,0,INTERVENE,81,90,17,90,57,90,0.63,1,63,REINFORCE,31,0.31,1,31,WATCH,Data Not Available,Data Not Available,68,32
Parkway Northwest High School,507,5070,HS,High School,6200 Crittenden St.,Philadelphia,PA,19138,215-400-3390,215-400-3391,District,N/A,260,philasd.org/parkwaynw,'9-12',Special Admit,HS-3,Network 6,Network 1,28,25.52,90.5,WATCH,12th out of 15,52nd out of 83,3,0.82,28.5,INTERVENE,11th out of 15,53rd out of 77,21,6.68,32,INTERVENE,14th out of 15,59th out of 83,74,14.73,20,REINFORCE,5th out of 15,25th out of 83,33,3.29,10,WATCH,12th out of 15,49th out of 81,11,144,0,8,0,INTERVENE,12,69,0,144,0,1.5,0,INTERVENE,5,73,0,8,0,INTERVENE,0,73,0,1.5,0,INTERVENE,27,73,0.74,8,9,INTERVENE,1,73,0.08,1.5,5,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.91,0,6.5,0,INTERVENE,-5.08,0,6.5,0,INTERVENE,-2.16,0,6.5,0,INTERVENE,95,184,6.55,8,82,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.1,0,1.5,0,INTERVENE,-0.75,0.13,1.5,8,INTERVENE,-1.71,0,1.5,0,INTERVENE,54,264,5.47,8,68,REINFORCE,29,264,8,264,2,264,7,264,89,248,6,6,100,MODEL,100,264,0.48,0.5,96,MODEL,86,264,1.36,2.5,55,REINFORCE,48,0.48,1,48,WATCH,73,0.73,1,73,REINFORCE,18,0.21,1,21,INTERVENE,81,54,1.17,4.5,26,WATCH,64,44,1.05,1.5,70,REINFORCE,0,51,0,1,0,INTERVENE,45,51,55,51,4,51,0,1,0,INTERVENE,86,51,10,51,63,51,0.76,1,76,MODEL,31,0.31,1,31,WATCH,Data Not Available,Data Not Available,67,33
Parkway Center City Middle College High School,508,5080,HS,High School,540 N. 13th St.,Philadelphia,PA,19123,215-400-7620,215-400-7621,District,School Redesign Initiative,478,philasd.org/parkwaycc,'9-12',Special Admit,HS-4,Autonomy,Network 1,61,55.45,90.5,REINFORCE,3rd out of 9,11th out of 83,34,9.76,28.5,WATCH,4th out of 9,12th out of 77,73,23.47,32,REINFORCE,3rd out of 9,15th out of 83,75,15.08,20,MODEL,9th out of 9,22nd out of 83,71,7.12,10,REINFORCE,3rd out of 9,11th out of 81,53,192,3.26,8,41,WATCH,66,109,10,192,0.63,1.5,42,WATCH,30,179,1.02,8,13,INTERVENE,9,179,0.54,1.5,36,WATCH,63,68,4.32,8,54,REINFORCE,0,68,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,7.07,6.5,6.5,100,MODEL,-5.12,0,6.5,0,INTERVENE,2.39,6.5,6.5,100,MODEL,98,356,7.47,8,93,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,2.89,1.5,1.5,100,MODEL,-3.27,0,1.5,0,INTERVENE,2.48,1.5,1.5,100,MODEL,55,481,5.55,8,69,REINFORCE,30,481,10,481,3,481,3,481,94,466,6,6,100,MODEL,100,481,0.5,0.5,100,MODEL,100,481,2.5,2.5,100,MODEL,53,0.53,1,53,REINFORCE,0,0,1,0,INTERVENE,5,0,1,0,INTERVENE,100,94,4.5,4.5,100,MODEL,71,92,1.25,1.5,83,MODEL,4,91,0,1,0,INTERVENE,80,91,15,91,13,91,0.08,1,8,INTERVENE,87,91,0,91,87,91,1,1,100,MODEL,30,0.3,1,30,WATCH,Data Not Available,Data Not Available,72,35
Parkway West High School,509,5090,HS,High School,4725 Fairmount Ave.,Philadelphia,PA,19139,215-400-7710,215-400-7711,District,N/A,315,philasd.org/parkwaywest,'9-12',Special Admit,HS-2,Network 2,Network 13,21,20.25,96.5,INTERVENE,15th out of 17,65th out of 83,5,1.37,28.5,INTERVENE,7th out of 17,48th out of 77,10,3.64,38,INTERVENE,17th out of 17,81st out of 83,66,13.18,20,REINFORCE,3rd out of 17,32nd out of 83,21,2.06,10,INTERVENE,14th out of 16,58th out of 81,13,153,0,8,0,INTERVENE,8,84,0,153,0,1.5,0,INTERVENE,14,64,0,8,0,INTERVENE,2,64,0.09,1.5,6,INTERVENE,33,64,1.28,8,16,INTERVENE,0,64,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.49,0,6.5,0,INTERVENE,-1.78,0,6.5,0,INTERVENE,-0.89,0.24,6.5,4,INTERVENE,76,177,1.52,8,19,INTERVENE,51,37,1.36,6,23,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.91,0,1.5,0,INTERVENE,-0.36,0.32,1.5,21,INTERVENE,-0.61,0.2,1.5,13,INTERVENE,51,331,5.02,8,63,REINFORCE,25,331,8,331,6,331,10,331,83,298,4.73,6,79,MODEL,100,331,0.5,0.5,100,MODEL,98,331,2.37,2.5,95,MODEL,55,0.55,1,55,REINFORCE,0,0,1,0,INTERVENE,1,0,1,0,INTERVENE,62,71,0,4.5,0,INTERVENE,61,44,0.99,1.5,66,REINFORCE,0,60,0,1,0,INTERVENE,53,60,47,60,2,60,0,1,0,INTERVENE,87,60,12,60,62,60,0.73,1,73,REINFORCE,34,0.34,1,34,WATCH,Data Not Available,Data Not Available,78,43
William W. Bodine High School,515,5150,HS,High School,1101 N. 4th St.,Philadelphia,PA,19123,215-400-7630,215-400-7631,District,N/A,515,philasd.org/bodine,'9-12',Special Admit,HS-4,Autonomy,Network 1,46,41.95,90.5,WATCH,7th out of 9,26th out of 83,29,8.16,28.5,WATCH,6th out of 9,17th out of 77,29,9.23,32,WATCH,8th out of 9,47th out of 83,88,17.6,20,MODEL,3rd out of 9,9th out of 83,70,6.96,10,REINFORCE,5th out of 9,13th out of 81,42,220,2.23,8,28,WATCH,56,131,7,220,0.44,1.5,29,WATCH,23,231,0.34,8,4,INTERVENE,2,231,0.13,1.5,9,INTERVENE,67,162,4.73,8,59,REINFORCE,5,162,0.3,1.5,20,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-1.01,0,6.5,0,INTERVENE,-10.16,0,6.5,0,INTERVENE,-0.31,1.5,6.5,23,INTERVENE,98,382,7.44,8,93,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.41,0.3,1.5,20,INTERVENE,-4.45,0,1.5,0,INTERVENE,-1.71,0,1.5,0,INTERVENE,64,518,7.12,8,89,MODEL,25,518,6,518,3,518,2,518,95,505,6,6,100,MODEL,99,518,0.44,0.5,88,MODEL,97,518,2.28,2.5,91,MODEL,59,0.59,1,59,REINFORCE,75,0.75,1,75,MODEL,27,0.42,1,42,WATCH,95,109,3.67,4.5,82,MODEL,77,104,1.42,1.5,94,MODEL,4,104,0,1,0,INTERVENE,55,104,41,104,31,104,0.52,1,52,REINFORCE,68,104,1,104,91,104,1,1,100,MODEL,35,0.35,1,35,WATCH,Data Not Available,Data Not Available,75,45
Penn Treaty High School,516,5160,HS,High School,600 E. Thompson St.,Philadelphia,PA,19125,215-400-3800,215-400-3801,District,N/A,342,philasd.org/penntreaty,'9-12',Neighborhood,HS-1,Network 3,Network 3,36,34.55,96.5,WATCH,3rd out of 23,38th out of 83,5,1.53,28.5,INTERVENE,3rd out of 19,43rd out of 77,51,19.38,38,REINFORCE,3rd out of 23,30th out of 83,62,12.32,20,REINFORCE,5th out of 23,42nd out of 83,13,1.33,10,INTERVENE,8th out of 22,66th out of 81,10,168,0,8,0,INTERVENE,6,66,0,168,0,1.5,0,INTERVENE,15,180,0,8,0,INTERVENE,2,180,0.1,1.5,7,INTERVENE,33,91,1.3,8,16,INTERVENE,2,91,0.13,1.5,9,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,0.92,4.16,6.5,64,REINFORCE,0.52,3.29,6.5,51,REINFORCE,0.87,4.05,6.5,62,REINFORCE,89,201,5.08,8,64,REINFORCE,25,28,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.59,1.3,1.5,86,MODEL,2.39,1.5,1.5,100,MODEL,-2.23,0,1.5,0,INTERVENE,44,379,3.89,8,49,WATCH,26,379,10,379,6,379,14,379,83,337,4.85,6,81,MODEL,100,379,0.5,0.5,100,MODEL,89,379,1.6,2.5,64,REINFORCE,58,0.58,1,58,REINFORCE,75,0.75,1,75,MODEL,16,0.14,1,14,INTERVENE,72,78,0,4.5,0,INTERVENE,26,62,0.02,1.5,1,INTERVENE,0,62,0,1,0,INTERVENE,23,62,77,62,0,62,0,1,0,INTERVENE,77,62,23,62,71,62,0.92,1,92,MODEL,38,0.38,1,38,WATCH,Data Not Available,Data Not Available,59,54
Kensington High School for Creative and Performing Arts,552,5520,HS,High School,1901 N. Front St.,Philadelphia,PA,19122,215-400-7400,215-400-7401,District,N/A,493,philasd.org/kcapa,'9-12',Neighborhood,HS-1,Network 5,Network 5,18,17.66,98,INTERVENE,8th out of 23,66th out of 83,1,0.38,30,INTERVENE,5th out of 19,56th out of 77,18,6.85,38,INTERVENE,9th out of 23,66th out of 83,45,9.05,20,WATCH,6th out of 23,57th out of 83,14,1.39,10,INTERVENE,7th out of 22,65th out of 81,4,132,0,8,0,INTERVENE,1,88,0,132,0,1.5,0,INTERVENE,0,56,0,8,0,INTERVENE,0,56,0,1.5,0,INTERVENE,15,47,0,8,0,INTERVENE,0,47,0,1.5,0,INTERVENE,8,80,0.38,1.5,25,WATCH,-6.73,0,6.5,0,INTERVENE,-5.47,0,6.5,0,INTERVENE,-4.99,0,6.5,0,INTERVENE,93,252,6.2,8,78,MODEL,39,38,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.92,0,1.5,0,INTERVENE,0.3,0.65,1.5,43,WATCH,-2.03,0,1.5,0,INTERVENE,26,591,0.92,8,11,INTERVENE,25,591,15,591,10,591,24,591,84,458,5.44,6,91,MODEL,100,591,0.5,0.5,100,MODEL,90,591,1.68,2.5,67,REINFORCE,52,0.52,1,52,REINFORCE,0,0,1,0,INTERVENE,3,0,1,0,INTERVENE,76,127,0.25,4.5,6,INTERVENE,36,105,0.31,1.5,20,INTERVENE,9,104,0,1,0,INTERVENE,6,104,86,104,2,104,0,1,0,INTERVENE,73,104,25,104,52,104,0.54,1,54,REINFORCE,30,0.3,1,30,WATCH,Data Not Available,Data Not Available,67,35
Kensington Health Sciences Academy,555,5550,HS,High School,2463 Emerald St.,Philadelphia,PA,19125,215-400-3600,215-400-3601,District,N/A,432,philasd.org/khsa,'9-12',Neighborhood,HS-2,Network 5,Network 5,31,30.27,98,WATCH,8th out of 17,47th out of 83,4,1.27,30,INTERVENE,8th out of 17,49th out of 77,45,17.04,38,WATCH,8th out of 17,37th out of 83,53,10.51,20,REINFORCE,10th out of 17,52nd out of 83,15,1.46,10,INTERVENE,15th out of 16,63rd out of 81,13,192,0,8,0,INTERVENE,15,95,1,192,0.06,1.5,4,INTERVENE,17,83,0,8,0,INTERVENE,4,83,0.22,1.5,14,INTERVENE,30,97,0.99,8,12,INTERVENE,0,97,0,1.5,0,INTERVENE,5,83,0,1.5,0,INTERVENE,-1.21,0,6.5,0,INTERVENE,1,4.33,6.5,67,REINFORCE,0.3,2.82,6.5,43,WATCH,91,257,5.72,8,71,REINFORCE,63,40,2.7,6,45,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-0.12,0.44,1.5,29,WATCH,0.71,0.86,1.5,57,REINFORCE,-0.65,0.18,1.5,12,INTERVENE,27,498,1.04,8,13,INTERVENE,26,498,16,498,6,498,26,498,86,413,6,6,100,MODEL,100,498,0.5,0.5,100,MODEL,87,498,1.45,2.5,58,REINFORCE,55,0.55,1,55,REINFORCE,88,0.88,1,88,MODEL,14,0.09,1,9,INTERVENE,71,106,0,4.5,0,INTERVENE,29,79,0.11,1.5,7,INTERVENE,24,85,0.34,1,34,WATCH,22,85,54,85,1,85,0,1,0,INTERVENE,65,85,34,85,56,85,0.63,1,63,REINFORCE,38,0.38,1,38,WATCH,Data Not Available,Data Not Available,64,49
Building 21,561,5610,HS,High School,6501 Limekiln Pike,Philadelphia,PA,19138,215-400-7450,215-400-7451,District,N/A,382,philasd.org/building21,'9-12',Citywide,HS-2,Innovation,Innovation,12,10.96,90.5,INTERVENE,17th out of 17,72nd out of 83,0,0.03,28.5,INTERVENE,16th out of 17,74th out of 77,12,3.74,32,INTERVENE,16th out of 17,77th out of 83,21,4.13,20,INTERVENE,16th out of 17,71st out of 83,31,3.06,10,WATCH,11th out of 16,52nd out of 81,4,199,0,8,0,INTERVENE,2,85,1,199,0.03,1.5,2,INTERVENE,3,113,0,8,0,INTERVENE,0,113,0,1.5,0,INTERVENE,17,115,0,8,0,INTERVENE,0,115,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.92,0,6.5,0,INTERVENE,-5.01,0,6.5,0,INTERVENE,-1.51,0,6.5,0,INTERVENE,84,194,3.74,8,47,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-3.47,0,1.5,0,INTERVENE,-1.35,0,1.5,0,INTERVENE,-2.1,0,1.5,0,INTERVENE,24,393,0.59,8,7,INTERVENE,25,393,19,393,10,393,22,393,70,369,0,6,0,INTERVENE,100,393,0.5,0.5,100,MODEL,88,393,1.53,2.5,61,REINFORCE,51,0.51,1,51,REINFORCE,78,0.78,1,78,MODEL,19,0.22,1,22,INTERVENE,84,80,1.58,4.5,35,WATCH,39,67,0.38,1.5,25,WATCH,0,70,0,1,0,INTERVENE,0,70,100,70,3,70,0,1,0,INTERVENE,86,70,11,70,64,70,0.79,1,79,MODEL,32,0.32,1,32,WATCH,Data Not Available,Data Not Available,50,40
The U School,562,5620,HS,High School,2000 N. 7th St.,Philadelphia,PA,19122,215-400-7460,215-400-7461,District,N/A,291,philasd.org/uschool,'9-12',Citywide,HS-1,Innovation,Innovation,23,21.99,96.5,INTERVENE,7th out of 23,60th out of 83,0,0.04,28.5,INTERVENE,14th out of 19,70th out of 77,12,4.59,38,INTERVENE,17th out of 23,75th out of 83,66,13.29,20,REINFORCE,1st out of 23,30th out of 83,41,4.08,10,WATCH,1st out of 22,40th out of 81,1,158,0,8,0,INTERVENE,0,61,1,158,0.04,1.5,3,INTERVENE,5,60,0,8,0,INTERVENE,0,60,0,1.5,0,INTERVENE,10,100,0,8,0,INTERVENE,0,100,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-10.5,0,6.5,0,INTERVENE,-5.86,0,6.5,0,INTERVENE,-2.29,0,6.5,0,INTERVENE,85,155,4.04,8,51,REINFORCE,34,38,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.74,0,1.5,0,INTERVENE,-0.12,0.44,1.5,29,WATCH,-0.79,0.11,1.5,7,INTERVENE,95,298,8,8,100,MODEL,4,298,1,298,0,298,1,298,79,273,2.69,6,45,WATCH,100,298,0.5,0.5,100,MODEL,89,298,1.58,2.5,63,REINFORCE,51,0.51,1,51,REINFORCE,0,0,1,0,INTERVENE,6,0,1,0,INTERVENE,88,56,2.25,4.5,50,REINFORCE,44,50,0.52,1.5,35,WATCH,0,52,0,1,0,INTERVENE,2,52,98,52,2,52,0,1,0,INTERVENE,94,52,4,52,85,52,1,1,100,MODEL,31,0.31,1,31,WATCH,Data Not Available,Data Not Available,61,41
